Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team
183,Maxi Gómez,URU,FW,Valencia,26,1996,3,0,108,1.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17
184,Moi Gómez,ESP,"MF,FW",Osasuna,28,1994,14,14,1139,12.7,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,12
185,Papu Gómez,ARG,"FW,MF",Sevilla,34,1988,12,6,650,7.2,0,1,0,0,0,4,0,0.0,0.14,0.14,0.0,0.14,16
186,Sergi Gómez,ESP,DF,Espanyol,30,1992,11,10,895,9.9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,8
187,Diego González,ESP,DF,Elche,27,1995,6,2,327,3.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,7
188,Édgar González,ESP,DF,Betis,25,1997,11,9,845,9.4,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,4
189,Giovanni González,URU,DF,Mallorca,28,1994,5,3,344,3.8,0,2,0,0,0,3,0,0.0,0.52,0.52,0.0,0.52,11
190,Nicolás González,ESP,MF,Valencia,20,2002,12,5,517,5.7,1,0,1,0,0,1,0,0.17,0.0,0.17,0.17,0.17,17
191,Roberto González,ESP,"FW,MF",Betis,21,2001,2,0,54,0.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4
192,Andoni Gorosabel,ESP,DF,Real Sociedad,26,1996,11,8,713,7.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,15
193,Ivo Grbić,CRO,GK,Atletico Madrid,26,1996,4,2,208,2.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2
194,Clément Grenier,FRA,MF,Mallorca,31,1991,10,4,404,4.5,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,11
195,Antoine Griezmann,FRA,"FW,MF",Atletico Madrid,31,1991,14,7,773,8.6,5,3,5,0,0,0,0,0.58,0.35,0.93,0.58,0.93,2
196,Arnaut Groeneveld,NED,FW,Villarreal,25,1997,9,6,476,5.3,2,0,1,1,1,0,0,0.38,0.0,0.38,0.19,0.19,19
197,Andrés Guardado,MEX,"MF,FW",Betis,36,1986,8,3,303,3.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,4
198,Sergi Guardiola,ESP,FW,Valladolid,31,1991,11,6,377,4.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18
199,Nemanja Gudelj,SRB,"DF,MF",Sevilla,30,1991,12,12,1035,11.5,2,0,2,0,0,4,0,0.17,0.0,0.17,0.17,0.17,16
200,Ander Guevara,ESP,"MF,DF",Real Sociedad,25,1997,4,1,126,1.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15
201,Hugo Guillamón,ESP,MF,Valencia,22,2000,13,11,916,10.2,1,4,0,1,1,4,0,0.1,0.39,0.49,0.0,0.39,17
202,Gerard Gumbau,ESP,MF,Elche,27,1994,13,9,831,9.2,0,3,0,0,0,5,0,0.0,0.32,0.32,0.0,0.32,7
203,Gorka Guruzeta,ESP,"FW,MF",Athletic Club,26,1996,7,1,203,2.3,5,0,5,0,0,1,0,2.22,0.0,2.22,2.22,2.22,1
204,Raúl Guti,ESP,MF,Elche,25,1996,11,8,647,7.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,7
205,Miguel Gutiérrez,ESP,DF,Girona,21,2001,13,11,908,10.1,0,2,0,0,0,3,0,0.0,0.2,0.2,0.0,0.2,10
206,Munir El Haddadi,MAR,"MF,FW",Getafe,27,1995,8,0,234,2.6,1,0,1,0,0,2,0,0.38,0.0,0.38,0.38,0.38,9
207,Eden Hazard,BEL,FW,Real Madrid,31,1991,3,1,99,1.1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,14
208,Luiz Henrique,BRA,FW,Betis,21,2001,12,9,741,8.2,0,1,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12,4
209,Mario Hermoso,ESP,DF,Atletico Madrid,27,1995,3,1,120,1.3,1,0,1,0,0,3,1,0.75,0.0,0.75,0.75,0.75,2
210,Aridane Hernández,EQG,DF,Osasuna,33,1989,3,2,144,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,12
211,Luis Hernández,ESP,DF,Cadiz,33,1989,12,12,1079,12.0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,5
212,Ander Herrera,ESP,MF,Athletic Club,33,1989,6,3,238,2.6,0,1,0,0,0,2,1,0.0,0.38,0.38,0.0,0.38,1
213,Sergio Herrera,ESP,GK,Osasuna,29,1993,10,10,900,10.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,12
214,Yangel Herrera,VEN,MF,Girona,24,1998,11,9,629,7.0,0,2,0,0,0,1,0,0.0,0.29,0.29,0.0,0.29,10
215,Omar El Hilali,MAR,"DF,MF",Espanyol,19,2003,5,1,92,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8
216,Pablo Ibáñez,ESP,MF,Osasuna,24,1998,4,0,35,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,12
217,Iglesias,ESP,DF,Getafe,24,1998,13,11,1026,11.4,1,0,1,0,0,3,0,0.09,0.0,0.09,0.09,0.09,9
218,Borja Iglesias,ESP,FW,Betis,29,1993,13,12,957,10.6,8,2,5,3,3,0,1,0.75,0.19,0.94,0.47,0.66,4
219,Asier Illarramendi,ESP,MF,Real Sociedad,32,1990,6,2,153,1.7,1,0,1,0,0,2,0,0.59,0.0,0.59,0.59,0.59,15
220,Alexander Isak,SWE,FW,Real Sociedad,23,1999,2,2,152,1.7,1,0,1,0,0,0,0,0.59,0.0,0.59,0.59,0.59,15
221,Isco,ESP,"MF,FW",Sevilla,30,1992,12,10,799,8.9,0,2,0,0,0,5,0,0.0,0.23,0.23,0.0,0.23,16
222,Nicolas Jackson,SEN,FW,Villarreal,21,2001,13,8,772,8.6,2,2,2,0,0,1,0,0.23,0.23,0.47,0.23,0.47,19
223,Adnan Januzaj,BEL,FW,Sevilla,27,1995,2,1,47,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,16
224,Javi,ESP,DF,Girona,24,1998,10,4,365,4.1,0,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,10
225,Joaquín,ESP,"MF,FW",Betis,41,1981,5,1,160,1.8,0,1,0,0,0,0,0,0.0,0.56,0.56,0.0,0.56,4
226,Frenkie de Jong,NED,MF,Barcelona,25,1997,13,9,900,10.0,2,1,2,0,0,0,0,0.2,0.1,0.3,0.2,0.3,3
227,Joan Jordán,ESP,"MF,DF",Sevilla,28,1994,10,9,684,7.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,16
228,Josan,ESP,"DF,MF",Elche,32,1989,12,3,392,4.4,1,0,1,0,0,3,0,0.23,0.0,0.23,0.23,0.23,7
229,Willian José,BRA,FW,Betis,30,1991,10,2,271,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
230,Joselu,ESP,FW,Espanyol,32,1990,14,14,1260,14.0,7,1,5,2,2,1,0,0.5,0.07,0.57,0.36,0.43,8
231,Juanmi,ESP,FW,Betis,29,1993,4,4,313,3.5,2,0,2,0,0,2,0,0.58,0.0,0.58,0.58,0.58,4
232,Juanpe,ESP,DF,Girona,31,1991,7,7,615,6.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,10
233,Lago Junior,CIV,"FW,MF",Mallorca,31,1990,5,0,52,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11
234,Vinicius Júnior,BRA,FW,Real Madrid,22,2000,14,14,1227,13.6,6,3,6,0,0,3,0,0.44,0.22,0.66,0.44,0.66,14
235,Kaiky,BRA,DF,Almeria,18,2004,8,6,484,5.4,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0
236,Lee Kangin,KOR,"MF,FW",Mallorca,21,2001,14,13,1090,12.1,2,3,2,0,0,4,0,0.17,0.25,0.41,0.17,0.41,11
237,Jon Karrikaburu,ESP,FW,Real Sociedad,20,2002,6,0,93,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15
238,Kenedy,BRA,MF,Valladolid,26,1996,1,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18
239,Franck Kessié,CIV,MF,Barcelona,25,1996,7,2,216,2.4,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,3
240,Kike,ESP,FW,Osasuna,32,1989,14,3,428,4.8,2,0,1,1,1,3,0,0.42,0.0,0.42,0.21,0.21,12
241,Justin Kluivert,NED,"FW,MF",Valencia,23,1999,10,5,518,5.8,2,0,2,0,0,1,0,0.35,0.0,0.35,0.35,0.35,17
242,Koke,ESP,MF,Atletico Madrid,30,1992,10,8,742,8.2,0,2,0,0,0,2,0,0.0,0.24,0.24,0.0,0.24,2
243,Luca Koleosho,CAN,"FW,DF",Espanyol,18,2004,2,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8
244,Geoffrey Kondogbia,CTA,MF,Atletico Madrid,29,1993,11,8,719,8.0,0,1,0,0,0,3,0,0.0,0.13,0.13,0.0,0.13,2
245,Jules Koundé,FRA,DF,Barcelona,24,1998,7,7,572,6.4,0,2,0,0,0,0,0,0.0,0.31,0.31,0.0,0.31,3
246,Toni Kroos,GER,MF,Real Madrid,32,1990,11,10,858,9.5,1,2,1,0,0,2,1,0.1,0.21,0.31,0.1,0.31,14
247,Takefusa Kubo,JPN,"FW,MF",Real Sociedad,21,2001,12,10,842,9.4,2,2,2,0,0,0,0,0.21,0.21,0.43,0.21,0.43,15
248,César de la Hoz,ESP,MF,Almeria,30,1992,8,6,583,6.5,1,0,1,0,0,4,0,0.15,0.0,0.15,0.15,0.15,0
249,Luca de la Torre,USA,MF,Celta Vigo,24,1998,5,0,54,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6
250,Érik Lamela,ARG,"FW,MF",Sevilla,30,1992,13,10,956,10.6,3,0,3,0,0,5,1,0.28,0.0,0.28,0.28,0.28,16
251,Latasa,ESP,"FW,DF",Getafe,21,2001,6,0,61,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9
252,Toni Lato,ESP,"DF,MF",Valencia,24,1997,9,2,276,3.1,1,0,1,0,0,0,0,0.33,0.0,0.33,0.33,0.33,17
253,Lázaro,BRA,"MF,FW",Almeria,20,2002,6,2,206,2.3,1,0,1,0,0,0,0,0.44,0.0,0.44,0.44,0.44,0
254,Robin Le Normand,FRA,DF,Real Sociedad,26,1996,11,9,816,9.1,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,15
255,Benjamin Lecomte,FRA,GK,Espanyol,31,1991,10,10,899,10.0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,8
256,Jeremías Ledesma,ARG,GK,Cadiz,29,1993,14,14,1260,14.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5
257,Florian Lejeune,FRA,DF,Rayo Vallecano,31,1991,12,12,948,10.5,3,0,3,0,0,4,1,0.28,0.0,0.28,0.28,0.28,13
258,Iñigo Lekue,ESP,DF,Athletic Club,29,1993,12,10,947,10.5,0,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,1
259,Thomas Lemar,FRA,MF,Atletico Madrid,27,1995,9,5,390,4.3,0,2,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46,2
260,Sergio León,ESP,FW,Valladolid,33,1989,13,7,625,6.9,5,1,4,1,2,0,0,0.72,0.14,0.86,0.58,0.72,18
261,Robert Lewandowski,POL,FW,Barcelona,34,1988,14,13,1064,11.8,13,4,13,0,1,2,1,1.1,0.34,1.44,1.1,1.44,3
262,Pol Lirola,ESP,DF,Elche,25,1997,8,7,548,6.1,1,0,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,7
263,Marcos Llorente,ESP,"DF,MF",Atletico Madrid,27,1995,8,8,662,7.4,1,0,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,2
264,Giovani Lo Celso,ARG,"MF,FW",Villarreal,26,1996,8,8,521,5.8,1,0,1,0,0,1,0,0.17,0.0,0.17,0.17,0.17,19
265,David López,ESP,"DF,MF",Girona,33,1989,8,8,690,7.7,2,1,2,0,0,2,0,0.26,0.13,0.39,0.26,0.39,10
266,Diego López,ESP,GK,Rayo Vallecano,41,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13
267,Unai López,ESP,MF,Rayo Vallecano,27,1995,13,6,554,6.2,1,2,1,0,0,0,0,0.16,0.32,0.49,0.16,0.49,13
268,Anthony Lozano,HON,FW,Cadiz,29,1993,12,8,756,8.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,5
269,Pol Lozano,ESP,MF,Espanyol,23,1999,4,0,17,0.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8
270,José Luis Gayà,ESP,DF,Valencia,27,1995,10,10,862,9.6,0,2,0,0,1,1,0,0.0,0.21,0.21,0.0,0.21,17
271,José Luis Morales,ESP,FW,Villarreal,35,1987,13,3,424,4.7,1,0,1,0,0,0,0,0.21,0.0,0.21,0.21,0.21,19
272,Andriy Lunin,UKR,GK,Real Madrid,23,1999,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14
273,Awer Mabil,AUS,"MF,FW",Cadiz,27,1995,5,1,165,1.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5
274,Pablo Maffeo,ESP,DF,Mallorca,25,1997,12,12,1017,11.3,1,0,1,0,0,3,1,0.09,0.0,0.09,0.09,0.09,11
275,Jon Magunacelaya,ESP,"MF,FW",Real Sociedad,22,2000,2,0,65,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15
276,Nemanja Maksimović,SRB,MF,Getafe,27,1995,12,10,711,7.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9
277,Hugo Mallo,ESP,DF,Celta Vigo,31,1991,11,11,873,9.7,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,6
278,Mickael Malsa,MTQ,MF,Valladolid,27,1995,4,0,39,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18
279,Giorgi Mamardashvili,GEO,GK,Valencia,22,2000,14,14,1260,14.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,17
280,Reinildo Mandava,MOZ,DF,Atletico Madrid,28,1994,14,14,1238,13.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2
281,Aïssa Mandi,ALG,DF,Villarreal,31,1991,7,3,261,2.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19
282,Maranhão,BRA,"FW,MF",Valencia,26,1996,11,3,370,4.1,1,0,1,0,0,2,1,0.24,0.0,0.24,0.24,0.24,17
283,Marcão,BRA,DF,Sevilla,26,1996,4,4,360,4.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,16
284,Agustín Marchesín,ARG,GK,Celta Vigo,34,1988,14,14,1260,14.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,6
285,Óscar de Marcos,ESP,DF,Athletic Club,33,1989,14,13,1078,12.0,0,3,0,0,0,2,0,0.0,0.25,0.25,0.0,0.25,1
286,José Mari,ESP,MF,Cadiz,34,1987,10,2,288,3.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5
287,José María Giménez,URU,DF,Atletico Madrid,27,1995,9,8,735,8.2,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,2
288,Mariano,DOM,FW,Real Madrid,29,1993,4,0,24,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14
289,Pablo Marín,ESP,"MF,FW",Real Sociedad,19,2003,3,1,106,1.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15
290,Roger Martí,ESP,FW,Elche,31,1991,8,5,430,4.8,0,1,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21,7
291,Iván Martín,ESP,MF,Girona,23,1999,2,0,103,1.1,2,0,2,0,0,0,0,1.75,0.0,1.75,1.75,1.75,10
292,Arnau Martinez,ESP,"DF,MF",Girona,19,2003,11,10,811,9.0,2,1,2,0,0,2,0,0.22,0.11,0.33,0.22,0.33,10
293,Iñigo Martínez,ESP,DF,Athletic Club,31,1991,9,9,810,9.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1
294,Omar Mascarell,ESP,MF,Elche,29,1993,12,12,1014,11.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,7
295,Jordi Masip,ESP,GK,Valladolid,33,1989,9,9,810,9.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,18
296,Jaime Mata,ESP,FW,Getafe,34,1988,6,0,42,0.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,9
297,Borja Mayoral,ESP,FW,Getafe,25,1997,14,14,1105,12.3,1,0,1,0,1,2,0,0.08,0.0,0.08,0.08,0.08,9
298,Mamadou Mbaye,SEN,DF,Cadiz,24,1998,3,3,209,2.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5
299,Gonzalo Melero,ESP,MF,Almeria,28,1994,8,7,536,6.0,1,2,1,0,0,2,0,0.17,0.34,0.5,0.17,0.5,0
300,Houboulang Mendes,FRA,DF,Almeria,24,1998,7,6,498,5.5,0,1,0,0,0,0,0,0.0,0.18,0.18,0.0,0.18,0
301,Brais Méndez,ESP,MF,Real Sociedad,25,1997,14,13,1121,12.5,6,2,6,0,0,4,0,0.48,0.16,0.64,0.48,0.64,15
302,Ferland Mendy,FRA,DF,Real Madrid,27,1995,11,11,884,9.8,0,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,14
303,Mikel Merino,ESP,MF,Real Sociedad,26,1996,14,13,1124,12.5,1,6,1,0,1,4,0,0.08,0.48,0.56,0.08,0.56,15
304,Roque Mesa,ESP,MF,Valladolid,33,1989,12,11,862,9.6,2,1,2,0,0,4,0,0.21,0.1,0.31,0.21,0.31,18
305,Éder Militão,BRA,DF,Real Madrid,24,1998,12,10,913,10.1,3,0,3,0,0,1,0,0.3,0.0,0.3,0.3,0.3,14
306,Luis Milla,ESP,MF,Getafe,28,1994,8,7,650,7.2,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,9
307,Pere Milla,ESP,"FW,MF",Elche,30,1992,13,8,779,8.7,3,1,2,1,1,3,0,0.35,0.12,0.46,0.23,0.35,7
308,Marko Milovanović,SRB,FW,Almeria,19,2003,2,0,15,0.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0
309,Óscar Mingueza,ESP,DF,Celta Vigo,23,1999,10,4,478,5.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,6
310,Rafa Mir,ESP,FW,Sevilla,25,1997,9,7,559,6.2,2,0,2,0,0,1,0,0.32,0.0,0.32,0.32,0.32,16
311,Juan Miranda,ESP,DF,Betis,22,2000,2,1,94,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
312,Stefan Mitrović,SRB,DF,Getafe,32,1990,13,11,1035,11.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,9
313,Luka Modrić,CRO,MF,Real Madrid,37,1985,13,11,926,10.3,3,2,2,1,1,3,0,0.29,0.19,0.49,0.19,0.39,14
314,Johan Mojica,COL,DF,Villarreal,30,1992,5,1,186,2.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19
315,Johan Mojica,COL,"DF,MF",Elche,30,1992,3,3,270,3.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,7
316,Nahuel Molina,ARG,DF,Atletico Madrid,24,1998,11,11,924,10.3,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,2
317,Jon Moncayola,ESP,MF,Osasuna,24,1998,14,9,876,9.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,12
318,Monchu,ESP,MF,Valladolid,23,1999,12,7,659,7.3,1,1,1,0,0,4,0,0.14,0.14,0.27,0.14,0.27,18
319,Gonzalo Montiel,ARG,DF,Sevilla,25,1997,8,8,585,6.5,0,1,0,0,0,3,1,0.0,0.15,0.15,0.0,0.15,16
320,Martín Montoya,ESP,DF,Betis,31,1991,3,3,183,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
321,Álvaro Morata,ESP,FW,Atletico Madrid,30,1992,14,12,845,9.4,5,1,5,0,0,3,0,0.53,0.11,0.64,0.53,0.64,2
322,Jon Morcillo,ESP,"FW,MF",Athletic Club,24,1998,8,0,56,0.6,0,1,0,0,0,0,0,0.0,1.61,1.61,0.0,1.61,1
323,Alberto Moreno,ESP,"DF,FW",Villarreal,30,1992,6,4,368,4.1,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,19
324,Álex Moreno,ESP,DF,Betis,29,1993,13,13,1170,13.0,0,3,0,0,0,1,0,0.0,0.23,0.23,0.0,0.23,4
325,Gerard Moreno,ESP,FW,Villarreal,30,1992,6,5,382,4.2,2,0,2,0,0,1,0,0.47,0.0,0.47,0.47,0.47,19
326,Tete Morente,ESP,MF,Elche,25,1996,11,8,718,8.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,7
327,Ilaix Moriba,GUI,MF,Valencia,19,2003,6,4,331,3.7,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,17
328,Manu Morlanes,ESP,MF,Villarreal,23,1999,3,2,145,1.6,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,19
329,Loren Morón,ESP,FW,Betis,28,1993,2,0,15,0.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4
330,Cristhian Mosquera,COL,DF,Valencia,18,2004,2,0,55,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17
331,Abdul Mumin,GHA,DF,Rayo Vallecano,24,1998,2,1,102,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13
332,Iker Muniain,ESP,"MF,FW",Athletic Club,29,1992,11,10,788,8.8,0,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,1
333,Aihen Muñoz,ESP,DF,Real Sociedad,25,1997,9,8,666,7.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15
334,Pablo Muñoz,ESP,MF,Rayo Vallecano,19,2003,2,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13
335,Vedat Muriqi,KVX,FW,Mallorca,28,1994,12,12,1037,11.5,8,1,6,2,3,3,1,0.69,0.09,0.78,0.52,0.61,11
336,Yunus Musah,USA,MF,Valencia,19,2002,11,10,846,9.4,0,2,0,0,0,5,0,0.0,0.21,0.21,0.0,0.21,17
337,Nacho,ESP,DF,Real Madrid,32,1990,7,1,147,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14
338,Juanjo Narváez,COL,"MF,FW",Valladolid,27,1995,5,1,148,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18
339,Matija Nastasić,SRB,DF,Mallorca,29,1993,4,3,285,3.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,11
340,Roberto Navarro,ESP,"MF,DF",Real Sociedad,20,2002,8,0,155,1.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,15
341,Jesús Navas,ESP,"DF,FW",Sevilla,36,1985,11,6,626,7.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,16
342,Álvaro Negredo,ESP,FW,Cadiz,37,1985,10,5,410,4.6,1,1,1,0,0,0,0,0.22,0.22,0.44,0.22,0.44,5
343,Tanguy Nianzou,FRA,DF,Sevilla,20,2002,10,8,640,7.1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,16
344,Saúl Ñíguez,ESP,"MF,DF",Atletico Madrid,27,1994,11,6,465,5.2,0,1,0,0,0,5,0,0.0,0.19,0.19,0.0,0.19,2
345,Diego Noguerol,ESP,"FW,DF",Valencia,20,2002,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17
346,Randy Ntekja,FRA,"FW,MF",Rayo Vallecano,24,1997,7,0,67,0.7,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,13
347,Unai Núñez,ESP,DF,Celta Vigo,25,1997,13,13,1170,13.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,6
348,Jan Oblak,SVN,GK,Atletico Madrid,29,1993,12,12,1052,11.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2
349,Brian Ocampo,URU,"MF,FW",Cadiz,23,1999,10,7,560,6.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5
350,Lucas Ocampos,ARG,"FW,MF",Sevilla,28,1994,3,1,132,1.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,16
351,Lucas Olaza,URU,DF,Valladolid,28,1994,9,6,641,7.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,18
352,Brian Oliván,ESP,DF,Espanyol,28,1994,14,14,1209,13.4,0,3,0,0,0,3,0,0.0,0.22,0.22,0.0,0.22,8
353,Lucas Oliveira Rosa,BRA,DF,Valladolid,22,2000,5,4,323,3.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,18
354,Aimar Oroz,ESP,"MF,FW",Osasuna,20,2001,12,9,774,8.6,2,1,1,1,1,3,0,0.23,0.12,0.35,0.12,0.23,12
355,Cenk Özkacar,TUR,DF,Valencia,22,2000,3,1,239,2.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17
356,Fernando Pacheco,ESP,GK,Almeria,30,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
357,Jon Pacheco,ESP,DF,Real Sociedad,21,2001,9,7,678,7.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,15
358,Gonçalo Paciência,POR,"FW,MF",Celta Vigo,28,1994,10,3,331,3.7,1,0,1,0,0,1,1,0.27,0.0,0.27,0.27,0.27,6
359,Helibelton Palacios,COL,DF,Elche,29,1993,9,8,705,7.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,7
360,Isaac Palazón Camacho,ESP,"FW,MF",Rayo Vallecano,27,1994,13,12,986,11.0,3,3,2,1,1,1,0,0.27,0.27,0.55,0.18,0.46,13
361,Aitor Paredes,ESP,DF,Athletic Club,22,2000,3,0,23,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1
362,Daniel Parejo,ESP,MF,Villarreal,33,1989,14,14,1227,13.6,0,2,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,19
363,Moises Parra Gutierrez,ESP,FW,Getafe,20,2002,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9
364,Javier Pastore,ARG,MF,Elche,33,1989,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7
365,Gabriel Paulista,BRA,DF,Valencia,31,1990,10,7,579,6.4,1,0,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,17
