,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
156,Felipe,br BRA,DF,Atlético Madrid,33-180,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
157,Luiz Felipe,it ITA,DF,Betis,25-235,1997,7,6,414,4.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
158,João Félix,pt POR,FW,Atlético Madrid,23-002,1999,12,5,513,5.7,3,3,3,0,0,5,0,0.53,0.53,1.05,0.53,1.05
159,Kiko Femenía,es ESP,DF,Villarreal,31-283,1991,11,9,847,9.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
160,Aitor Fernández,es ESP,GK,Osasuna,31-193,1991,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
161,Álex Fernández,es ESP,"MF,FW",Cádiz,30-028,1992,12,8,699,7.8,2,0,2,0,0,0,0,0.26,0.00,0.26,0.26,0.26
162,Álvaro Fernández,es ESP,GK,Espanyol,24-213,1998,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
163,Carlos Fernández,es ESP,FW,Real Sociedad,26-174,1996,7,4,232,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
164,Federico Fernández,ar ARG,DF,Elche,33-264,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
165,Joaquín Fernández,es ESP,DF,Valladolid,26-165,1996,12,10,955,10.6,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09
166,Fernando,es ESP,GK,Almería,32-155,1990,13,13,"1,170",13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
167,Fernando,br BRA,"MF,DF",Sevilla,35-110,1987,6,6,495,5.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
