,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG
44,Betis,25,27.9,53.6,38,418,"3,420",38.0,50,35,42,8,11,93,8,1.32,0.92,2.24,1.11,2.03,49.1,40.5,33.4,73.9,1.29,0.88,2.17,1.07,1.94
45,Cádiz,34,28.8,34.8,38,418,"3,420",38.0,33,16,29,4,4,81,3,0.87,0.42,1.29,0.76,1.18,34.7,31.6,20.4,52.0,0.91,0.54,1.45,0.83,1.37
46,Celta Vigo,30,26.6,53.3,38,418,"3,420",38.0,55,39,48,7,7,109,5,1.45,1.03,2.47,1.26,2.29,50.4,44.9,36.7,81.6,1.33,0.97,2.29,1.18,2.15
47,Eibar,30,28.2,49.3,38,418,"3,420",38.0,29,20,25,4,9,71,3,0.76,0.53,1.29,0.66,1.18,45.2,38.3,29.9,68.2,1.19,0.79,1.98,1.01,1.79
48,Elche,30,28.1,47.5,38,418,"3,420",38.0,33,25,31,2,3,99,3,0.87,0.66,1.53,0.82,1.47,29.9,27.5,21.8,49.4,0.79,0.57,1.36,0.72,1.30
49,Getafe,31,26.7,43.3,38,418,"3,420",38.0,27,14,24,3,5,120,7,0.71,0.37,1.08,0.63,1.00,34.4,30.5,23.6,54.1,0.91,0.62,1.53,0.80,1.42
50,Granada,34,27.4,41.4,38,418,"3,420",38.0,47,30,44,3,5,97,6,1.24,0.79,2.03,1.16,1.95,41.1,37.3,26.8,64.0,1.08,0.70,1.79,0.98,1.68
51,Huesca,27,28.0,48.3,38,418,"3,420",38.0,32,23,29,3,4,69,2,0.84,0.61,1.45,0.76,1.37,38.9,36.1,26.7,62.8,1.02,0.70,1.73,0.95,1.65
52,Levante,29,28.0,52.2,38,418,"3,420",38.0,45,35,42,3,6,68,1,1.18,0.92,2.11,1.11,2.03,40.4,35.7,29.6,65.3,1.06,0.78,1.84,0.94,1.72
53,Osasuna,28,27.9,43.2,38,418,"3,420",38.0,36,25,31,5,6,80,5,0.95,0.66,1.61,0.82,1.47,38.7,34.7,24.9,59.7,1.02,0.66,1.68,0.91,1.57
54,Real Madrid,30,27.9,59.3,38,418,"3,420",38.0,64,53,61,3,3,59,2,1.68,1.39,3.08,1.61,3.00,61.5,59.2,47.4,106.5,1.62,1.25,2.87,1.56,2.80
